ID,DATE,FK_RUBRICS,FK_OBSERVERS,GROUPS,SUNSPOTS,WOLF,QUALITY,COMMENT,DATE_INSERT
,1899-01-01,,77,2,10,30,,,
,1899-01-02,,77,3,11,41,,,
,1899-01-03,,77,1,11,21,,,
,1899-01-04,,77,1,1,11,,,
,1899-01-07,,77,2,12,32,,,
,1899-01-08,,77,2,9,29,,,
,1899-01-10,,77,1,7,17,,,
,1899-01-11,,77,2,12,32,,,
,1899-01-15,,77,2,15,35,,,
,1899-01-16,,77,2,7,27,,,
,1899-01-17,,77,2,8,28,,,
,1899-01-18,,77,1,3,13,,,
,1899-01-19,,77,1,1,11,,,
,1899-01-20,,77,0,0,0,,,
,1899-01-21,,77,0,0,0,,,
,1899-01-22,,77,0,0,0,,,
,1899-01-23,,77,0,0,0,,,
,1899-01-24,,77,1,1,11,,,
,1899-01-25,,77,1,4,14,,,
,1899-01-26,,77,1,6,16,,,
,1899-01-27,,77,1,7,17,,,
,1899-01-29,,77,1,2,12,,,
,1899-01-30,,77,2,7,27,,,
,1899-01-31,,77,1,1,11,,,
,1899-02-01,,77,2,11,31,,,
,1899-02-02,,77,2,23,43,,,
,1899-02-03,,77,2,7,27,,,
,1899-02-04,,77,2,10,30,,,
,1899-02-07,,77,1,8,18,,,
,1899-02-08,,77,0,0,0,,,
,1899-02-09,,77,1,4,14,,,
,1899-02-10,,77,1,3,13,,,
,1899-02-11,,77,1,2,12,,,
,1899-02-14,,77,0,0,0,,,
,1899-02-15,,77,0,0,0,,,
,1899-02-17,,77,0,0,0,,,
,1899-02-18,,77,0,0,0,,,
,1899-02-19,,77,0,0,0,,,
,1899-02-20,,77,0,0,0,,,
,1899-02-21,,77,0,0,0,,,
,1899-02-22,,77,0,0,0,,,
,1899-02-23,,77,1,1,11,,,
,1899-02-24,,77,0,0,0,,,
,1899-02-25,,77,0,0,0,,,
,1899-02-27,,77,1,2,12,,,
,1899-02-28,,77,1,10,20,,,
,1899-03-01,,77,1,6,16,,,
,1899-03-03,,77,1,4,14,,,
,1899-03-05,,77,0,0,0,,,
,1899-03-06,,77,0,0,0,,,
,1899-03-08,,77,0,0,0,,,
,1899-03-09,,77,0,0,0,,,
,1899-03-10,,77,0,0,0,,,
,1899-03-11,,77,1,1,11,,,
,1899-03-12,,77,1,1,11,,,
,1899-03-13,,77,1,2,12,,,
,1899-03-14,,77,1,4,14,,,
,1899-03-16,,77,1,10,20,,,
,1899-03-17,,77,1,32,42,,,
,1899-03-19,,77,1,20,30,,,
,1899-03-20,,77,2,38,58,,,
,1899-03-21,,77,2,20,40,,,
,1899-03-23,,77,3,6,36,,,
,1899-03-24,,77,3,7,37,,,
,1899-03-26,,77,3,8,38,,,
,1899-03-27,,77,2,4,24,,,
,1899-03-29,,77,1,1,11,,,
,1899-03-30,,77,1,5,15,,,
,1899-03-31,,77,1,2,12,,,
,1899-04-01,,77,1,3,13,,,
,1899-04-02,,77,1,2,12,,,
,1899-04-03,,77,1,3,13,,,
,1899-04-04,,77,2,3,23,,,
,1899-04-05,,77,2,2,22,,,
,1899-04-06,,77,1,2,12,,,
,1899-04-07,,77,0,0,0,,,
,1899-04-08,,77,0,0,0,,,
,1899-04-09,,77,1,1,11,,,
,1899-04-10,,77,1,2,12,,,
,1899-04-11,,77,3,10,40,,,
,1899-04-12,,77,3,8,38,,,
,1899-04-13,,77,2,8,28,,,
,1899-04-14,,77,2,2,22,,,
,1899-04-15,,77,1,1,11,,,
,1899-04-16,,77,1,1,11,,,
,1899-04-17,,77,2,3,23,,,
,1899-04-18,,77,1,1,11,,,
,1899-04-19,,77,1,1,11,,,
,1899-04-20,,77,1,1,11,,,
,1899-04-21,,77,1,1,11,,,
,1899-04-22,,77,1,1,11,,,
,1899-04-23,,77,2,3,23,,,
,1899-04-24,,77,2,2,22,,,
,1899-04-25,,77,2,2,22,,,
,1899-04-26,,77,2,2,22,,,
,1899-04-27,,77,1,9,19,,,
,1899-04-28,,77,1,10,20,,,
,1899-04-29,,77,1,6,16,,,
,1899-04-30,,77,1,2,12,,,
,1899-05-01,,77,1,1,11,,,
,1899-05-02,,77,1,1,11,,,
,1899-05-03,,77,1,1,11,,,
,1899-05-04,,77,1,1,11,,,
,1899-05-05,,77,0,0,0,,,
,1899-05-06,,77,0,0,0,,,
,1899-05-07,,77,0,0,0,,,
,1899-05-08,,77,0,0,0,,,
,1899-05-09,,77,0,0,0,,,
,1899-05-10,,77,0,0,0,,,
,1899-05-11,,77,0,0,0,,,
,1899-05-12,,77,0,0,0,,,
,1899-05-13,,77,0,0,0,,,
,1899-05-14,,77,0,0,0,,,
,1899-05-15,,77,0,0,0,,,
,1899-05-16,,77,0,0,0,,,
,1899-05-17,,77,0,0,0,,,
,1899-05-19,,77,0,0,0,,,
,1899-05-20,,77,1,2,12,,,
,1899-05-21,,77,1,2,12,,,
,1899-05-22,,77,1,4,14,,,
,1899-05-23,,77,1,5,15,,,
,1899-05-24,,77,1,4,14,,,
,1899-05-25,,77,1,4,14,,,
,1899-05-26,,77,1,5,15,,,
,1899-05-27,,77,1,1,11,,,
,1899-05-28,,77,1,1,11,,,
,1899-05-29,,77,1,1,11,,,
,1899-05-30,,77,1,1,11,,,
,1899-05-31,,77,1,4,14,,,
,1899-06-01,,77,1,1,11,,,
,1899-06-02,,77,0,0,0,,,
,1899-06-03,,77,1,1,11,,,
