Observer / Source;Period of observation;Link (DOI or note);Positions;Areas;# Spots;# Groups;ColumnsProvided;Verification;Source;YearStart;YearEnd;Target author(s)
Zürich Mittheilungen;1610-1944;;;;;;;;SILSO;1610;1944;SILSO
Hevelius (onset MM);1642-1645;10.3847/1538-4357/ab4ade;Unclear;Unclear;Likely;Likely;;Analysis paper.;Other;1600.0;1699.0;Carrasco/Vaquero
Kepler drawings (1607);1607;10.3847/2041-8213/ad57c9;Possibly (drawings);Unclear;Unclear;Unclear;;"Drawings analysis; numeric columns unlikely.";Hayakawa [3];1607.0;1607.0;Hayakawa
Thomas Harriot;1610-12-01–1613-01-31;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Arlt_Zolotova_Sol_Ph_2020.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1610.0;1613.0;Zolotova, Vokhmyanin
Scheiner (early 17th c.);1611 1631;10.1051/0004-6361/201629000;Yes;Yes;Likely;Yes;date, positions (lat/lon), area, tilt angles, groups;Verified (A&A 595 A104).;Other;1611.0;1631.0;Arlt
Galileo Galilei;1612-05-01–1612-07-31;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Arlt_Zolotova_Sol_Ph_2021.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1612.0;1612.0;Zolotova, Vokhmyanin
Lodovico Cardi known as Cigoli;1612-02-01–1612-08-31;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Arlt_Zolotova_Sol_Ph_2021.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1612.0;1612.0;Zolotova, Vokhmyanin
Sigismondo di Cologna;1612-09-06–1612-10-09;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Arlt_Zolotova_Sol_Ph_2021.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1612.0;1612.0;Zolotova, Vokhmyanin
Christoph Scheiner;1613-08-01–1613-08-01;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Arlt_Zolotova_Sol_Ph_2021.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1613.0;1613.0;Zolotova, Vokhmyanin
Fabio Colonna;1613-08-01–1614-10-03;https://geo.phys.spbu.ru/~ned/Publications.files/Vokhmyanin_Arlt_Zolotova_Sol_Ph_2021.pdf;Yes;Yes;Unclear;Yes;positions,areas,groups;Derived from Zolotova/Vokhmyanin reconstruction;Zolotova & Vokhmyanin;1613.0;1614.0;Zolotova, Vokhmyanin
