Review_sunspotsources_2010_2025_pruned;;;;;;;;;;;;
Observer / Source;Period of observation;Link (DOI or note);Positions;Areas;# Spots;# Groups;ColumnsProvided;Verification;Source;YearStart;YearEnd;Target author(s)
Hacki (unreleased records);1671;10.1016/j.asr.2025.05.037;Unclear;Unclear;Unclear;Unclear;;"Pending   article indicates unreleased notes; columns not described in abstract.";Other;1671;1671;Carrasco/Vaquero
Christoph Scheiner (revisit early telescopic era);1611-1632;10.48550/arXiv.2501.10903;Unclear;Unclear;Unclear;Unclear;;"Preprint; columns TBD from PDF.";Other;1611;1632;Carrasco/Vaquero
Diego de Torres Villarroel (note);1744;10.3847/2515-5172/ad71c2;Unclear;Unclear;Unclear;Unclear;;"Research Note; likely commentary.";Other;1744;1744;Carrasco/Vaquero
Katsue Misawa;1921 1934;10.1093/mnras/stad2791;Unclear;Unclear;Unclear;Unclear;;"Historical analysis; dataset columns TBD.";Hayakawa [3];1921;1934;Hayakawa
Kepler drawings (1607);1607;10.3847/2041-8213/ad57c9;Possibly (drawings);Unclear;Unclear;Unclear;;"Drawings analysis; numeric columns unlikely.";Hayakawa [3];1607;1607;Hayakawa
Lorenzo Hervás y Panduro (note);1791;10.3847/2515-5172/ad5960;Unclear;Unclear;Unclear;Unclear;;"Research Note; likely narrative.";Other;1791;1791;Carrasco/Vaquero
Rost & Alischer;1716-1727;10.3847/1538-4357/ad3fb9;Unclear;Unclear;Unclear;Unclear;;"Historical sunspot records; columns TBD.";Other;1716;1727;Carrasco/Vaquero
Early Maunder Minimum overview;1645 1659;10.1093/mnras/stad3922;Unclear;Unclear;Unclear;Unclear;;"Overview paper; not a catalog.";Other;1645;1659;Hayakawa
Angelo Secchi (digitized);1853 1878;10.3847/1538-4365/ad0886;Yes;Yes;Yes;Yes;date, group ID, (x,y) position/lat lon, area, counts;Verified (paper states digitization of documents and GN analysis).;Other;1853;1878;Carrasco/Vaquero
ROA Spanish Navy (scattered records);1789 1790;10.3847/2515-5172/ad08c9;Unclear;Unclear;Unclear;Unclear;;"Short note; likely descriptive.";Vaquero/Carrasco [2];1789;1790;Carrasco/Vaquero
Karl von Lindener;1800 1827;10.1051/swsc/2023023;Yes;Unclear;Likely;Likely;"date, group info, positions; areas not explicit";Verified (paper describes long-term dataset with positions).;Other;1800;1827;Hayakawa
Flaugergues (Dalton Minimum);1782-1830;10.1093/mnras/stad1489;Yes;Unclear;Likely;Likely;"date, positions; areas TBD";Verified (title/abstract indicate positions).;Arlt [1];;;Arlt
Valencia Observatory (hemi SSN);1940 1956;10.1007/s11207-023-02143-4;No;No;— (SSN derived);Yes (hemi);date, hemispheric SSN (GN/SSN components);Verified (hemispheric SSN product).;Vaquero/Carrasco [2];1940;1956;Carrasco/Vaquero
