ID,DATE,FK_RUBRICS,FK_OBSERVERS,GROUPS,SUNSPOTS,WOLF,QUALITY,COMMENT,DATE_INSERT
,1/2/1901,,78,0,0,0,,,
,1/3/1901,,78,0,0,0,,,
,1/4/1901,,78,0,0,0,,,
,1/5/1901,,78,0,0,0,,,
,1/6/1901,,78,0,0,0,,,
,1/7/1901,,78,0,0,0,,,
,1/8/1901,,78,0,0,0,,,
,1/9/1901,,78,0,0,0,,,
,1/10/1901,,78,0,0,0,,,
,1/13/1901,,78,0,0,0,,,
,1/14/1901,,78,0,0,0,,,
,1/15/1901,,78,0,0,0,,,
,1/16/1901,,78,0,0,0,,,
,1/17/1901,,78,0,0,0,,,
,1/18/1901,,78,0,0,0,,,
,1/19/1901,,78,0,0,0,,,
,1/20/1901,,78,0,0,0,,,
,1/28/1901,,78,0,0,0,,,
,1/29/1901,,78,0,0,0,,,
,1/31/1901,,78,0,0,0,,,
,2/1/1901,,78,0,0,0,,,
,2/3/1901,,78,0,0,0,,,
,2/4/1901,,78,1,1,11,,,
,2/6/1901,,78,1,2,12,,,
,2/7/1901,,78,1,1,11,,,
,2/12/1901,,78,0,0,0,,,
,2/15/1901,,78,0,0,0,,,
,2/19/1901,,78,0,0,0,,,
,2/20/1901,,78,0,0,0,,,
,2/21/1901,,78,0,0,0,,,
,2/22/1901,,78,0,0,0,,,
,2/23/1901,,78,0,0,0,,,
,2/26/1901,,78,0,0,0,,,
,2/27/1901,,78,0,0,0,,,
,2/28/1901,,78,0,0,0,,,
,3/1/1901,,78,0,0,0,,,
,3/2/1901,,78,0,0,0,,,
,3/4/1901,,78,3,14,44,,,
,3/6/1901,,78,2,7,27,,,
,3/8/1901,,78,2,10,30,,,
,3/9/1901,,78,2,11,31,,,
,3/11/1901,,78,0,0,0,,,
,3/14/1901,,78,0,0,0,,,
,3/15/1901,,78,0,0,0,,,
,3/17/1901,,78,0,0,0,,,
,3/18/1901,,78,0,0,0,,,
,3/24/1901,,78,0,0,0,,,
,3/27/1901,,78,0,0,0,,,
,3/28/1901,,78,0,0,0,,,
,3/29/1901,,78,0,0,0,,,
,3/30/1901,,78,0,0,0,,,
,3/31/1901,,78,0,0,0,,,
,4/1/1901,,78,0,0,0,,,
,4/2/1901,,78,0,0,0,,,
,4/3/1901,,78,0,0,0,,,
,4/4/1901,,78,0,0,0,,,
,4/5/1901,,78,0,0,0,,,
,4/6/1901,,78,0,0,0,,,
,4/8/1901,,78,0,0,0,,,
,4/9/1901,,78,0,0,0,,,
,4/10/1901,,78,0,0,0,,,
,4/11/1901,,78,0,0,0,,,
,4/12/1901,,78,0,0,0,,,
,4/14/1901,,78,0,0,0,,,
,4/15/1901,,78,0,0,0,,,
,4/17/1901,,78,0,0,0,,,
,4/18/1901,,78,0,0,0,,,
,4/19/1901,,78,0,0,0,,,
,4/20/1901,,78,0,0,0,,,
