,Date,Sunspots,Groups,Wolf
0,1861-01-07,5,1,15
1,1861-01-08,16,1,26
2,1861-01-09,11,1,21
3,1861-01-12,7,1,17
4,1861-01-14,5,1,15
5,1861-01-17,3,1,13
6,1861-01-20,3,1,13
7,1861-01-21,1,1,11
8,1861-01-24,1,1,11
9,1861-01-25,17,2,37
10,1861-01-26,4,1,14
11,1861-01-30,3,1,13
12,1861-01-31,4,1,14
13,1861-02-02,3,1,13
14,1861-02-03,10,2,30
15,1861-02-04,7,1,17
16,1861-02-08,6,1,16
17,1861-02-09,2,1,12
18,1861-02-12,7,1,17
19,1861-02-14,1,1,11
20,1861-02-16,9,1,19
21,1861-02-17,8,3,38
22,1861-02-18,5,1,15
23,1861-02-19,3,1,13
24,1861-02-21,3,1,13
25,1861-02-22,10,1,20
26,1861-02-23,5,1,15
27,1861-02-25,13,1,23
28,1861-02-27,8,1,18
29,1861-03-01,1,1,11
30,1861-03-02,13,1,23
31,1861-03-03,6,1,16
32,1861-03-06,3,1,13
33,1861-03-07,4,1,14
34,1861-03-08,7,1,17
35,1861-03-10,3,1,13
36,1861-03-11,8,1,18
37,1861-03-14,1,1,11
38,1861-03-15,3,1,13
39,1861-03-16,2,1,12
40,1861-03-17,11,2,31
41,1861-03-19,3,1,13
42,1861-03-20,9,1,19
43,1861-03-21,1,1,11
44,1861-03-23,1,1,11
45,1861-03-25,4,1,14
46,1861-03-26,5,3,35
47,1861-03-28,14,2,34
48,1861-03-29,4,1,14
49,1861-03-30,4,2,24
50,1861-03-31,17,2,37
51,1861-04-03,1,1,11
52,1861-04-04,7,1,17
53,1861-04-06,12,2,32
54,1861-04-07,1,1,11
55,1861-04-11,2,1,12
56,1861-04-14,1,1,11
57,1861-04-21,4,2,24
58,1861-04-22,8,2,28
59,1861-04-26,7,2,27
60,1861-04-28,5,1,15
61,1861-04-30,1,1,11
62,1861-05-01,4,1,14
63,1861-05-02,20,3,50
64,1861-05-10,9,2,29
65,1861-05-19,1,1,11
66,1861-05-25,12,1,22
67,1861-05-26,5,1,15
68,1861-05-29,1,1,11
69,1861-05-30,5,1,15
70,1861-06-03,6,1,16
71,1861-06-04,10,2,30
72,1861-06-06,16,3,46
73,1861-06-15,1,1,11
74,1861-06-17,36,2,56
75,1861-06-18,5,1,15
76,1861-06-19,4,1,14
77,1861-06-21,10,1,20
78,1861-06-22,7,1,17
79,1861-06-24,6,2,26
80,1861-06-28,2,1,12
81,1861-06-30,6,1,16
82,1861-07-05,12,3,42
83,1861-07-13,5,2,25
84,1861-07-14,11,1,21
85,1861-07-15,8,1,18
86,1861-07-17,1,1,11
