ID,DATE,FK_RUBRICS,FK_OBSERVERS,GROUPS,SUNSPOTS,WOLF,QUALITY,COMMENT,DATE_INSERT
,1/5/1913,,139,0,0,0,,,
,1/26/1913,,139,0,0,0,,,
,2/7/1913,,139,0,0,0,,,
,2/9/1913,,139,0,0,0,,,
,2/23/1913,,139,1,1,11,,,
,3/2/1913,,139,0,0,0,,,
,3/9/1913,,139,0,0,0,,,
,3/16/1913,,139,0,0,0,,,
,3/20/1913,,139,0,0,0,,,
,3/21/1913,,139,0,0,0,,,
,3/22/1913,,139,0,0,0,,,
,3/23/1913,,139,0,0,0,,,
,3/25/1913,,139,0,0,0,,,
,3/26/1913,,139,0,0,0,,,
,3/27/1913,,139,0,0,0,,,
,3/29/1913,,139,0,0,0,,,
,3/30/1913,,139,0,0,0,,,
,4/6/1913,,139,0,0,0,,,
,4/11/1913,,139,0,0,0,,,
,4/12/1913,,139,0,0,0,,,
,4/13/1913,,139,0,0,0,,,
,4/15/1913,,139,0,0,0,,,
,4/19/1913,,139,0,0,0,,,
,4/22/1913,,139,0,0,0,,,
,4/27/1913,,139,0,0,0,,,
,4/28/1913,,139,0,0,0,,,
,4/29/1913,,139,0,0,0,,,
,4/30/1913,,139,0,0,0,,,
,5/1/1913,,139,0,0,0,,,
,5/6/1913,,139,0,0,0,,,
,5/8/1913,,139,0,0,0,,,
,5/10/1913,,139,0,0,0,,,
,5/11/1913,,139,0,0,0,,,
,5/12/1913,,139,0,0,0,,,
,5/13/1913,,139,0,0,0,,,
,5/14/1913,,139,0,0,0,,,
,5/15/1913,,139,0,0,0,,,
,5/16/1913,,139,0,0,0,,,
,5/17/1913,,139,0,0,0,,,
,5/19/1913,,139,0,0,0,,,
,5/20/1913,,139,0,0,0,,,
,5/22/1913,,139,0,0,0,,,
,5/25/1913,,139,0,0,0,,,
,5/26/1913,,139,0,0,0,,,
,6/2/1913,,139,0,0,0,,,
,6/4/1913,,139,0,0,0,,,
,6/5/1913,,139,0,0,0,,,
,6/6/1913,,139,0,0,0,,,
,6/7/1913,,139,0,0,0,,,
,6/8/1913,,139,0,0,0,,,
,6/14/1913,,139,0,0,0,,,
,6/15/1913,,139,0,0,0,,,
,6/16/1913,,139,0,0,0,,,
,6/18/1913,,139,0,0,0,,,
,6/19/1913,,139,0,0,0,,,
,6/22/1913,,139,0,0,0,,,
,6/26/1913,,139,0,0,0,,,
,7/1/1913,,139,0,0,0,,,
,7/2/1913,,139,0,0,0,,,
,7/8/1913,,139,0,0,0,,,
,7/11/1913,,139,0,0,0,,,
,7/13/1913,,139,0,0,0,,,
,7/23/1913,,139,0,0,0,,,
,7/27/1913,,139,0,0,0,,,
,7/30/1913,,139,0,0,0,,,
,7/31/1913,,139,0,0,0,,,
,8/3/1913,,139,0,0,0,,,
,8/7/1913,,139,0,0,0,,,
,8/13/1913,,139,0,0,0,,,
,8/24/1913,,139,0,0,0,,,
,8/26/1913,,139,0,0,0,,,
,8/27/1913,,139,0,0,0,,,
,8/28/1913,,139,0,0,0,,,
,8/29/1913,,139,0,0,0,,,
,8/30/1913,,139,0,0,0,,,
,9/7/1913,,139,0,0,0,,,
,9/9/1913,,139,0,0,0,,,
,9/11/1913,,139,0,0,0,,,
,9/12/1913,,139,0,0,0,,,
,9/13/1913,,139,0,0,0,,,
,9/14/1913,,139,0,0,0,,,
,9/17/1913,,139,0,0,0,,,
,9/21/1913,,139,0,0,0,,,
,9/23/1913,,139,0,0,0,,,
,9/25/1913,,139,0,0,0,,,
,9/28/1913,,139,0,0,0,,,
,10/1/1913,,139,0,0,0,,,
,10/3/1913,,139,0,0,0,,,
,11/19/1913,,139,0,0,0,,,
,12/25/1913,,139,0,0,0,,,
