Date,G_N,S_N,SN_N,G_S,S_S,SN_S,G_Tot,S_Tot,SN_Tot,SN_V1,SN_V2,flag
1853-11-09,1,1,11,,,,1,1,11,22,42,1
1853-11-17,2,2,22,,,,2,2,22,28,53,1
1853-11-21,1,4,14,,,,1,4,14,20,38,1
1853-11-23,,,,1,2,12,1,2,12,38,72,1
1853-11-25,1,1,11,1,1,11,2,2,22,36,68,1
1853-12-01,,,,1,3,13,1,3,13,14,27,1
1853-12-02,,,,2,3,23,2,3,23,12,23,1
1853-12-08,1,3,13,1,5,15,2,8,28,24,46,1
1853-12-09,1,4,14,1,1,11,2,5,25,30,57,1
1853-12-12,1,3,13,,,,1,3,13,22,42,1
1853-12-14,2,4,24,1,1,11,3,5,35,34,65,1
1853-12-16,2,9,29,,,,2,9,29,32,61,1
1853-12-19,1,12,22,,,,1,12,22,25,48,1
1853-12-26,1,2,12,,,,1,2,12,16,30,1
1853-12-28,2,2,22,1,2,12,3,4,34,15,28,1
1853-12-29,1,1,11,2,3,23,3,4,34,15,28,1
1853-12-31,,,,3,3,33,3,3,33,53,101,1
1854-01-08,1,8,18,1,2,12,2,10,30,25,48,1
1854-01-13,1,17,27,,,,1,17,27,21,40,1
1854-01-19,,,,2,4,24,2,4,24,16,30,1
1854-01-21,,,,1,1,11,1,1,11,11,21,1
1854-01-22,,,,,,,0,0,0,0,0,1
1854-01-23,,,,,,,0,0,0,0,0,1
1854-01-25,,,,,,,0,0,0,0,0,1
1854-01-26,,,,,,,0,0,0,0,0,1
1854-01-28,,,,,,,0,0,0,11,21,1
1854-02-02,1,4,14,1,1,11,2,5,25,27,51,1
1854-02-04,2,5,25,1,4,14,3,9,39,43,82,1
1854-02-10,,,,2,8,28,2,8,28,32,61,1
1854-02-12,,,,3,15,45,3,15,45,35,66,1
1854-02-13,,,,2,7,27,2,7,27,28,53,1
1854-02-14,,,,1,13,23,1,13,23,17,32,1
1854-02-16,,,,1,7,17,1,7,17,22,42,1
1854-02-18,,,,1,11,21,1,11,21,22,42,1
1854-02-21,,,,1,2,12,1,2,12,0,0,1
1854-02-23,,,,,,,0,0,0,0,0,1
1854-02-25,,,,,,,0,0,0,0,0,1
1854-02-26,,,,,,,0,0,0,0,0,1
1854-02-27,,,,,,,0,0,0,0,0,1
1854-02-28,,,,,,,0,0,0,0,0,1
1854-03-01,1,2,12,,,,1,2,12,12,23,1
1854-03-04,,,,,,,0,0,0,0,0,1
1854-03-05,,,,,,,0,0,0,0,0,1
1854-03-06,,,,,,,0,0,0,0,0,1
1854-03-09,1,2,12,,,,1,2,12,11,21,1
1854-03-11,1,24,34,1,3,13,2,27,47,45,85,1
1854-03-12,1,20,30,1,1,11,2,21,41,44,84,1
1854-03-13,1,12,22,1,4,14,2,16,36,39,74,1
1854-03-17,2,6,26,,,,2,6,26,32,61,1
1854-03-21,2,4,24,,,,2,4,24,27,51,1
1854-03-22,1,1,11,,,,1,1,11,25,48,1
1854-03-26,1,1,11,1,2,12,2,3,23,29,55,1
1854-03-27,1,1,11,1,1,11,2,2,22,33,63,1
1854-03-28,,,,,,,0,0,0,35,66,1
1854-03-31,1,1,11,,,,1,1,11,11,21,1
1854-04-01,1,2,12,,,,1,2,12,15,28,1
1854-04-02,1,2,12,,,,1,2,12,12,23,1
1854-04-05,2,3,23,,,,2,3,23,38,72,1
1854-04-06,2,3,23,1,1,11,3,4,34,49,93,1
1854-04-08,4,10,50,,,,4,10,50,56,106,1
1854-04-21,1,1,11,1,1,11,2,2,22,25,48,1
1854-04-24,1,1,11,1,1,11,2,2,22,14,27,1
1854-04-29,1,1,11,,,,1,1,11,0,0,1
1854-05-02,2,3,23,,,,2,3,23,38,72,1
1854-05-04,2,2,22,,,,2,2,22,34,65,1
1854-05-09,3,10,40,,,,3,10,40,46,87,1
1854-05-10,2,5,25,1,1,11,3,6,36,54,103,1
1854-05-12,1,17,27,1,6,16,2,23,43,47,89,1
1854-05-14,1,6,16,1,3,13,2,9,29,49,93,1
1854-05-16,1,2,12,1,2,12,2,4,24,28,53,1
1854-05-17,,,,1,5,15,1,5,15,22,42,1
1854-05-20,,,,1,2,12,1,2,12,11,21,1
1854-05-23,,,,1,2,12,1,2,12,13,25,1
1854-05-24,,,,,,,0,0,0,0,0,1
1854-05-26,,,,,,,0,0,0,0,0,1
1854-05-28,1,1,11,,,,1,1,11,0,0,1
1854-05-30,,,,,,,0,0,0,0,0,1
1854-05-31,1,8,18,,,,1,8,18,0,0,1
