
Number of sunspot groups and individual sunspots recorded by Tevel for the period 1816–1836 in the Dalton Minimum

Original source: V.M.S. Carrasco, 2021, submitted to Astrophysical Journal.

FIRST COLUMN - year of the observation
SECOND COLUMN - month of the observation
THIRD COLUMN - day of the observation
FOURTH COLUMN - hour of the observation
FIFTH COLUMN - number of sunspot groups
SIXTH COLUMN - number of single sunspots


YEAR	MONTH	DAY	HOUR	GROUPS	SUNSPOTS
1816	4	5	16	5	20
1816	4	6	16	5	38
1816	4	8	15	7	55
1816	4	10	10	5	35
1816	4	11	16	5	12
1816	4	14	14	3	28
1816	4	15	10	4	20
1816	4	17	16	5	24
1816	4	18	10	4	21
1816	4	19	11	3	16
1816	4	20	10	3	31
1816	4	21	9	3	29
1816	4	22	8	3	27
1816	4	23	9	2	14
1816	4	24	16	2	14
1816	4	25	17	3	9
1816	4	26	10	3	6
1816	4	27	10	3	5
1816	4	28	10	2	13
1816	4	29	10	2	8
1816	4	30	8	1	6
1816	5	1	10	1	27
1816	5	2	10	2	21
1816	5	3	8	5	29
1816	5	4	8	5	14
1816	5	6	17	5	14
1816	5	7	9	4	15
1816	5	9	11	2	10
1816	5	10	17	1	5
1816	5	11	12	1	5
1816	5	12	14	3	9
1816	5	14	8	3	5
1816	5	16	7	3	3
1816	5	17	8	2	2
1816	5	18	10	2	2
1816	5	19	9	1	1
1816	5	20	7	1	1
1816	5	21	7	2	4
1816	5	22	17	3	4
1816	5	24	14	3	4
1816	5	25	16	5	12
1816	5	26	12	5	15
1816	5	28	7	5	33
1816	5	29	11	5	28
1816	5	31	8	6	40
1816	6	1	8	7	34
1816	6	2	17	6	39
1816	6	3	17	5	29
1816	6	4	11	5	30
1816	6	5	10	4	26
1816	6	6	13	1	9
1816	6	7	8	1	6
1816	6	8	6	1	3
1816	6	9	17	2	6
1816	6	10	11	3	8
1816	6	11	17	3	16
1816	6	12	12	4	15
1816	6	13	8	6	39
1816	6	17	15	2	7
1816	6	18	7	4	12
1816	6	19	8	3	11
1816	6	20	17	3	13
1816	6	21	17	2	4
1816	6	22	17	1	5
1816	6	23	10	3	7
1816	6	25	10	2	8
1816	6	26	8	2	9
1816	6	28	14	2	2
1816	6	29	17	2	5
1816	6	30	7	2	5
1816	7	2	10	3	4
1816	7	3	16	2	7
1816	7	5	17	2	37
1816	7	6	10	3	39
1816	7	7	8	3	36
1816	7	8	10	3	29
1816	7	9	11	3	22
1816	7	10	17	1	10
