ID,DATE,FK_RUBRICS,FK_OBSERVERS,GROUPS,SUNSPOTS,WOLF,QUALITY,COMMENT,DATE_INSERT
,1878-01-01,,57,0,0,0,,,
,1878-01-02,,57,0,0,0,,,
,1878-01-03,,57,0,0,0,,,
,1878-01-04,,57,0,0,0,,,
,1878-01-05,,57,0,0,0,,,
,1878-01-07,,57,1,2,12,,,
,1878-01-08,,57,0,0,0,,,
,1878-01-09,,57,0,0,0,,,
,1878-01-10,,57,2,2,22,,,
,1878-01-11,,57,1,2,12,,,
,1878-01-12,,57,0,0,0,,,
,1878-01-14,,57,0,0,0,,,
,1878-01-15,,57,1,1,11,,,
,1878-01-16,,57,2,2,22,,,
,1878-01-17,,57,0,0,0,,,
,1878-01-18,,57,0,0,0,,,
,1878-01-19,,57,1,1,11,,,
,1878-01-20,,57,1,4,14,,,
,1878-01-21,,57,3,5,35,,,
,1878-01-24,,57,1,9,19,,,
,1878-01-26,,57,2,3,23,,,
,1878-01-27,,57,1,2,12,,,
,1878-01-28,,57,0,0,0,,,
,1878-01-29,,57,0,0,0,,,
,1878-01-31,,57,0,0,0,,,
,1878-02-02,,57,1,10,20,,,
,1878-02-03,,57,2,16,36,,,
,1878-02-04,,57,2,21,41,,,
,1878-02-05,,57,2,21,41,,,
,1878-02-06,,57,2,14,34,,,
,1878-02-07,,57,2,15,35,,,
,1878-02-08,,57,2,11,31,,,
,1878-02-09,,57,1,2,12,,,
,1878-02-11,,57,0,0,0,,,
,1878-02-12,,57,0,0,0,,,
,1878-02-13,,57,0,0,0,,,
,1878-02-14,,57,0,0,0,,,
,1878-02-15,,57,0,0,0,,,
,1878-02-16,,57,0,0,0,,,
,1878-02-18,,57,0,0,0,,,
,1878-02-19,,57,0,0,0,,,
,1878-02-25,,57,0,0,0,,,
,1878-02-26,,57,0,0,0,,,
,1878-02-27,,57,0,0,0,,,
,1878-02-28,,57,1,2,12,,,
,1878-03-01,,57,0,0,0,,,
,1878-03-02,,57,0,0,0,,,
,1878-03-03,,57,2,9,29,,,
,1878-03-04,,57,3,7,37,,,
,1878-03-05,,57,2,5,25,,,
