ID,DATE,FK_RUBRICS,FK_OBSERVERS,GROUPS,SUNSPOTS,WOLF,QUALITY,COMMENT,DATE_INSERT
,2/24/1907,,114,8,52,132,,,
,3/4/1907,,114,8,37,117,,,
,3/5/1907,,114,9,40,130,,,
,3/7/1907,,114,6,44,104,,,
,3/8/1907,,114,5,61,111,,,
,3/27/1907,,114,2,5,25,,,
,3/28/1907,,114,1,2,12,,,
,3/29/1907,,114,2,4,24,,,
,3/31/1907,,114,3,3,33,,,
,4/6/1907,,114,4,53,93,,,
,4/7/1907,,114,4,36,76,,,
,4/8/1907,,114,4,39,79,,,
,4/9/1907,,114,4,25,65,,,
,4/10/1907,,114,4,16,56,,,
,4/16/1907,,114,1,11,21,,,
,4/17/1907,,114,2,13,33,,,
,4/27/1907,,114,2,19,39,,,
,4/29/1907,,114,2,9,29,,,
,5/1/1907,,114,1,3,13,,,
,5/2/1907,,114,1,2,12,,,
,5/3/1907,,114,3,5,35,,,
,5/12/1907,,114,3,30,60,,,
,5/13/1907,,114,3,19,49,,,
,5/15/1907,,114,3,15,45,,,
,5/18/1907,,114,3,9,39,,,
,5/19/1907,,114,2,2,22,,,
,5/20/1907,,114,3,7,37,,,
,5/21/1907,,114,3,5,35,,,
,5/22/1907,,114,3,7,37,,,
,5/25/1907,,114,2,7,27,,,
,5/26/1907,,114,3,8,38,,,
,5/29/1907,,114,3,5,35,,,
,6/1/1907,,114,1,2,12,,,
,6/2/1907,,114,2,7,27,,,
,6/3/1907,,114,2,6,26,,,
,6/4/1907,,114,2,5,25,,,
,6/5/1907,,114,1,1,11,,,
,6/6/1907,,114,2,8,28,,,
,6/7/1907,,114,1,2,12,,,
,6/9/1907,,114,3,4,34,,,
,6/12/1907,,114,2,12,32,,,
,7/1/1907,,114,2,5,25,,,
,7/2/1907,,114,3,8,38,,,
,7/3/1907,,114,3,16,46,,,
,7/4/1907,,114,2,18,38,,,
,7/6/1907,,114,1,18,28,,,
,7/7/1907,,114,1,21,31,,,
,7/8/1907,,114,1,25,35,,,
,7/9/1907,,114,1,19,29,,,
,7/11/1907,,114,4,20,60,,,
,7/13/1907,,114,4,28,68,,,
,7/15/1907,,114,4,46,86,,,
,7/16/1907,,114,4,49,89,,,
,7/19/1907,,114,2,34,54,,,
,7/20/1907,,114,4,27,67,,,
,7/21/1907,,114,5,27,77,,,
,7/22/1907,,114,4,20,60,,,
,7/24/1907,,114,3,18,48,,,
,7/25/1907,,114,3,22,52,,,
,7/26/1907,,114,4,25,65,,,
,7/27/1907,,114,3,27,57,,,
,7/28/1907,,114,3,30,60,,,
,7/29/1907,,114,5,41,91,,,
,7/30/1907,,114,5,26,76,,,
,7/31/1907,,114,4,15,55,,,
,8/1/1907,,114,5,17,67,,,
,8/3/1907,,114,5,14,64,,,
,8/4/1907,,114,5,13,63,,,
,8/5/1907,,114,5,26,76,,,
,8/6/1907,,114,5,29,79,,,
,8/7/1907,,114,5,35,85,,,
,8/8/1907,,114,5,29,79,,,
,8/9/1907,,114,3,21,51,,,
,8/10/1907,,114,4,24,64,,,
,8/11/1907,,114,4,18,58,,,
,8/12/1907,,114,4,12,52,,,
,8/13/1907,,114,5,17,67,,,
,8/14/1907,,114,5,22,72,,,
,8/16/1907,,114,4,39,79,,,
,8/17/1907,,114,4,32,72,,,
,8/18/1907,,114,4,42,82,,,
,8/19/1907,,114,5,46,96,,,
,8/20/1907,,114,5,45,95,,,
,8/21/1907,,114,5,35,85,,,
,8/22/1907,,114,5,32,82,,,
,8/27/1907,,114,2,8,28,,,
,8/28/1907,,114,3,25,55,,,
,8/29/1907,,114,2,26,46,,,
,8/31/1907,,114,2,38,58,,,
,9/2/1907,,114,3,52,82,,,
,9/3/1907,,114,3,38,68,,,
,9/4/1907,,114,4,30,70,,,
,9/5/1907,,114,4,44,84,,,
,9/6/1907,,114,6,52,112,,,
,9/7/1907,,114,7,49,119,,,
,9/8/1907,,114,9,57,147,,,
,9/10/1907,,114,8,44,124,,,
,9/12/1907,,114,8,43,123,,,
,9/15/1907,,114,4,43,83,,,
,9/16/1907,,114,4,22,62,,,
,9/17/1907,,114,5,27,77,,,
,9/23/1907,,114,5,29,79,,,
,9/25/1907,,114,3,44,74,,,
,9/28/1907,,114,5,43,93,,,
,9/29/1907,,114,5,35,85,,,
,9/30/1907,,114,5,24,74,,,
,10/1/1907,,114,7,26,96,,,
,10/3/1907,,114,6,16,76,,,
,10/5/1907,,114,5,8,58,,,
,10/6/1907,,114,4,10,50,,,
,10/10/1907,,114,4,20,60,,,
,10/11/1907,,114,4,49,89,,,
,10/16/1907,,114,5,53,103,,,
,10/17/1907,,114,5,65,115,,,
,10/18/1907,,114,5,59,109,,,
,10/20/1907,,114,6,24,84,,,
