,Date,Group,Spot,SN
0,1825-11-05,1,1,11
1,1825-11-08,1,1,11
2,1825-11-09,1,1,11
3,1825-11-10,1,1,11
4,1825-11-11,1,1,11
5,1825-11-14,1,1,11
6,1825-11-16,1,1,11
7,1825-11-18,1,1,11
8,1825-11-25,1,4,14
9,1825-11-26,1,2,12
10,1825-11-27,1,2,12
11,1825-11-29,1,2,12
12,1825-11-30,1,2,12
13,1825-12-02,1,2,12
14,1825-12-03,1,2,12
15,1825-12-06,1,2,12
16,1825-12-09,0,0,0
17,1825-12-10,0,0,0
18,1825-12-14,1,1,11
19,1825-12-16,1,1,11
20,1825-12-18,1,1,11
21,1825-12-20,2,3,23
22,1825-12-21,3,11,41
23,1825-12-23,2,4,24
24,1825-12-24,2,4,24
25,1825-12-25,2,3,23
26,1825-12-28,0,0,0
27,1825-12-29,0,0,0
28,1825-12-30,0,0,0
29,1825-12-31,1,1,11
30,1826-01-02,0,0,0
31,1826-01-05,1,4,14
32,1826-01-07,1,4,14
33,1826-01-08,2,9,29
34,1826-01-09,2,4,24
35,1826-01-10,2,3,23
36,1826-01-12,2,4,24
37,1826-01-17,1,2,12
38,1826-01-28,0,0,0
39,1826-01-29,1,5,15
40,1826-01-30,1,11,21
41,1826-02-01,1,5,15
42,1826-02-02,1,1,11
43,1826-02-03,1,1,11
44,1826-02-05,2,4,24
45,1826-02-07,1,4,14
46,1826-02-08,3,12,42
47,1826-02-10,1,4,14
48,1826-02-21,1,8,18
49,1826-02-24,1,2,12
50,1826-02-26,2,7,27
51,1826-02-27,2,4,24
52,1826-03-01,1,1,11
53,1826-03-02,2,7,27
54,1826-03-03,3,12,42
55,1826-03-10,2,5,25
56,1826-03-16,2,6,26
57,1826-03-17,3,11,41
58,1826-03-19,4,7,47
59,1826-03-23,3,6,36
60,1826-03-29,2,2,22
61,1826-04-08,1,1,11
62,1826-04-09,2,4,24
63,1826-04-10,3,6,36
64,1826-04-11,3,4,34
65,1826-04-13,3,4,34
66,1826-04-14,4,16,56
67,1826-04-17,2,6,26
68,1826-04-18,1,1,11
69,1826-04-21,0,0,0
70,1826-04-22,0,0,0
71,1826-04-26,2,2,22
72,1826-04-29,3,8,38
73,1826-04-30,3,7,37
74,1826-05-03,4,4,44
75,1826-05-05,4,5,45
76,1826-05-06,5,10,60
77,1826-05-08,2,11,31
78,1826-05-15,2,4,24
79,1826-05-18,3,6,36
80,1826-05-19,3,9,39
81,1826-05-28,2,2,22
82,1826-05-31,2,4,24
83,1826-06-05,3,3,33
84,1826-06-06,3,6,36
85,1826-06-09,2,3,23
86,1826-06-11,3,3,33
87,1826-06-14,3,3,33
88,1826-06-15,3,7,37
89,1826-06-24,3,4,34
90,1826-06-27,6,21,81
91,1826-06-28,5,10,60
92,1826-07-05,2,3,23
93,1826-07-07,3,3,33
94,1826-07-08,4,4,44
95,1826-07-09,6,7,67
96,1826-07-11,6,12,72
97,1826-07-17,3,7,37
98,1826-07-18,4,7,47
99,1826-07-19,6,9,69
100,1826-07-20,3,4,34
101,1826-07-21,2,3,23
102,1826-07-22,2,3,23
103,1826-07-24,1,1,11
104,1826-07-26,3,11,41
105,1826-07-27,2,2,22
106,1826-07-28,3,8,38
107,1826-07-29,3,13,43
108,1826-07-30,3,10,40
109,1826-07-31,3,5,35
110,1826-08-01,4,10,50
111,1826-08-02,4,12,52
112,1826-08-03,5,8,58
113,1826-08-04,4,5,45
114,1826-08-06,5,5,55
