RecoveredDataset;StartDate;EndDate;ActualObservationDays
Eimmart Observatory;1681;1718;129
Daniel Mögling;1626;1629;134
Christoph Scheiner;1611;1631;928
Jean Tarde;1615;1617;30
Jan Smogulecki;1621;1625;34
Johannes Kepler;1607;1607;3
Gottfried Kirch;1680;1709;35
Peter Becker;1708;1710;
Charles Malapert;1618;1626;200
Johannes Hevelius;1642;1679;200
John Flamsteed;1676;1700;59
J.C. Staudacher;1749;1796;1000
Christian Horrebow;1761;1777;
Georg Tevel;1816;1836;2400
Stephan Prantner;1804;1844;3000
Thaddäus Derfflinger;1802;1824;
Karl von Lindener;1800;1827;547
Richard Carrington;1853;1861;5000
William Derham;1703;1715;30
Thomas Harriot;1610;1613;199
P. Saxonius;1616;1616;24
Zucconi;1754;1760;
Staudt;1760;1762;
Fushimi & Edo;1749;1750;16
Pierre Gassendi;1631;1632;45
Picard & La Hire;1660;1719;277
Schwarzenberg;1825;1830;800
Gustav Spörer;1861;1894;445
J.W. Pastorff;1819;1833;1500
Hisako Koyama;1945;1996;10000
Stonyhurst Observatory;1921;1935;
Miguel Aguilar;1914;1920;1500
Valencia Observatory;1920;1928;74
Madrid Observatory;1931;1986;
Joaquin Gallo;1910;1950;
San Fernando Observatory;1876;1896;
Eclipse Observers;1777;1777;
Kunitomo Ikkansai;1835;1836;15
Joseph-Antoine Gallet;1776;1778;200
Scheiner;1611;1631;
D.E. Hadden;1890;1931;2964
Ames & Ferrer;1806;1806;
Heinrich Schwabe;1825;1867;
Rudolf Wolf;1849;1893;
Staudacher;1749;1796;
Naval Observatory;1850;1890;
Angelo Secchi;1853;1878;4000
Group Number Backbone;1610;2010;
International Sunspot Number;1700;2014;
Maunder Minimum Composite;1645;1715;
Thomas Harriot drawings;1610;1613;200
Galileo Galilei sunspot letters;1612;1612;49
Composite dataset (Cigoli;1612;1614;
Pierre Gassendi drawings;1632;1634;
Christoph Scheiner drawings;1611;1631;8167
Johannes Hevelius;1653;1675;
Gottfried Kirch correspondence;1680;1709;35
John Flamsteed correspondence;1672;1703;
Jean Charles Gallet;1677;1677;76
Hacki–Hevelius letters;1671;1671;
Tarde & Smogulecki combined;1615;1625;1252
