"name","origin","observation_count","start_year","end_year","year_count"
Meteorological and Geomagnetic Observatory in Batavia,observatory,674,1912,1921,3
Kremsmünster Observatory,observatory,124,1810,1823,5
Prof. Fr. Schwab (Direcktor Kremsmunster),observer,3503,1892,1909,18
Jacques André Mallet,observer,86,1773,1777,5
Meyer,observer,429,1868,1871,4
B. Jastremsky,observer,143,1897,1899,3
Francesco Denza,observer,3963,1874,1893,20
R. Chr. Carrington,observer,1458,1853,1860,8
von Both,observer,183,1825,1826,2
Christoph Scheiner,observer,33,1611,1616,2
H. R. Morgan,observer,160,1896,1897,2
Alexander Wurlisch,observer,3051,1874,1886,9
Larionoff,observer,202,1901,1903,3
Honoré Flaugergues,observer,2045,1788,1830,38
Heinrich Weber,observer,6076,1863,1883,21
Heinrich Heimen,observer,814,1915,1918,4
B. Fattorosi,observer,593,1915,1918,3
Popow,observer,164,1901,1902,2
Thiemo Schwarz,observer,771,1904,1914,8
Joseph Hrase,observer,1754,1906,1916,11
Scharbe,observer,370,1895,1903,4
Robert H. Baker,observer,671,1903,1906,4
W. Malsch,observer,112,1918,1918,1
Jenzer,observer,578,1861,1865,5
Vogel,observer,161,1886,1886,1
F Buser,observer,2536,1928,1937,10
N. Ewdokimow,observer,22,1893,1893,1
G. von Stempell,observer,2758,1903,1925,23
US Naval,observer,333,1877,1878,2
Ferdinand Janesch,observer,1161,1882,1887,6
Karl Rapp,observer,1296,1941,1944,4
Boston observatory,observer,780,1896,1906,10
F. Franzenau,observer,302,1860,1863,4
Fraulein Schmid,observer,224,1915,1915,1
Galileo Galilé,observer,153,1612,1614,3
Pastorff (Low Magnification),observer,497,1824,1833,10
Marie Bloch,observer,352,1921,1925,5
Friedrich Hoffler,observer,233,1895,1896,2
Di Bella,observer,151,1915,1915,1
Ilario Sormano,observer,113,1907,1908,2
Augustus Vagetius,observer,13,1678,1689,4
J. Adair Lyon,observer,113,1897,1898,2
Charles Henry Adams,observer,1055,1819,1823,5
Gaspare Stanislao Ferrari,observer,297,1878,1879,2
F. Schatkow,observer,1054,1902,1910,9
Pietro Tacchini,observer,7668,1870,1900,30
Felix Biske,observer,377,1908,1909,2
Margaretha Kirch,observer,23,1700,1704,3
Schonberg,observer,51,1908,1908,1
G. Lewitzky,observer,893,1893,1907,11
Von Buttlar,observer,1897,1914,1925,8
Max Waldmeier,observer,811,1936,1944,6
Carl Anton Schott,observer,474,1860,1862,3
Dorothy Reed,observer,32,1917,1917,1
J. Kitschigin,observer,102,1900,1900,1
H. Waldner,observer,41,1863,1864,2
Fritz,observer,25,1857,1858,2
Karl Christian Bruhns,observer,103,1880,1880,1
Miklos Konkoly-Thege,observer,3683,1885,1905,21
Adolf Miethe,observer,88,1882,1882,1
Edwin B. Frost,observer,326,1889,1890,2
M. Wasnetzoff,observer,454,1905,1912,8
Alfred Wolfer,observer,13207,1876,1928,52
Alfred Fauquez,observer,186,1894,1895,2
Venturi Ginori,observer,113,1907,1907,1
Anton Wonaszek,observer,139,1894,1894,1
Anne Sewell Young,observer,2772,1907,1925,19
Johann Staudacher,observer,1193,1749,1799,51
Rudolf Wegner,observer,28,1918,1918,1
François Arago,observer,354,1822,1830,9
Joseph-Noël Guillaume,observer,5980,1902,1925,24
H. Flooh,observer,141,1906,1906,1
G. de Lisa,observer,100,1875,1875,1
Guido Horn d'Arturo,observer,175,1907,1909,3
Max Maier,observer,632,1895,1901,7
M. Ossipoff,observer,385,1904,1906,3
Fraulein von Miloradowitsch,observer,143,1913,1914,2
Wilhelm Winkler,observer,6218,1882,1910,29
Oberst M. Mazaralla,observer,121,1905,1905,1
Wm Brunner,observer,4931,1906,1944,20
C. Strano,observer,72,1914,1915,2
Luigi Gaetano Taffara,observer,589,1907,1909,3
W. Stefko,observer,260,1909,1913,5
Paul S. Yendell,observer,303,1888,1889,2
Schmoll,observer,1363,1888,1892,5
Thomas Harriot,observer,210,1611,1613,3
J. Sykora,observer,1281,1893,1910,11
Jean Mooser,observer,40,1891,1891,1
François de Plantade,observer,420,1705,1726,12
Gustav Spörer,observer,6,1861,1861,1
Romolo Remiddi,observer,270,1871,1871,1
Pater Joh Schreiber,observer,1158,1891,1895,5
